Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Temporada
W. Klingender,William Wagner Klingender Ferreyra,69027,,Boston River,,,"RCMF3, LCMF3, AMF",RCMF3,37,LCMF3,36,AMF,12,28.0,1988-10-02,0,,19,771,1,0.17,0,0.36,30.47,46.51,Uruguay,['Uruguay'],right,182,76,False,5.91,9.92,40.48,4.02,58.82,0.71,1.08,0.0,1.18,1.81,2.36,1,0.12,0,0.0,3.31,0.12,0,0.0,0.04,0,0.0,5,1.18,20.0,0.0,0.0,3.31,35.71,0.71,33.33,2.6,36.36,0.24,3.54,40.0,12.76,44.44,2.13,1.18,0.24,25.98,1.42,3.78,42.99,76.37,14.65,59.68,6.38,96.3,38.03,81.37,1.65,42.86,17.05,12.69,0.09,0.94,0.0,0.0,1.65,28.57,0.24,5.67,54.17,2.83,33.33,1.18,0.0,0.94,0.94,7.09,66.67,84.13,14.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.02,0.0,0.0,0.0,0.47,0,0.0,2017
D. Rodríguez,Diego Manuel Rodríguez Da Luz,92321,,River Plate,,,LB,LB,100,,0,,0,30.0,1986-08-08,0,,11,770,1,0.25,1,0.15,17.21,62.86,Uruguay,"['Uruguay', 'Italy']",left,177,75,False,7.87,9.34,47.37,0.98,50.0,0.0,0.0,0.0,3.44,4.88,2.46,1,0.12,0,0.0,3.93,0.12,0,0.0,0.12,0,0.0,3,1.48,0.0,0.0,0.49,0.98,50.0,0.98,50.0,0.0,0.0,0.0,3.93,87.5,5.41,81.82,0.49,0.98,0.98,23.11,0.49,0.98,36.39,83.78,20.66,76.19,5.41,100.0,31.97,89.23,3.44,42.86,19.29,33.73,0.07,1.48,0.0,0.0,0.98,0.0,0.49,8.85,72.22,0.98,100.0,0.49,0.0,0.98,0.49,9.34,94.74,90.91,5.41,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.98,1.48,0.98,0.0,0.0,0,0.0,2017
B. Acosta,Briam Eduardo Acosta Arellano,499275,Deportivo Maldonado,Juventud,https://cdn5.wyscout.com/photos/team/public/1745_120x120.png,Primera División,"LCMF, RW, RCMF3",LCMF,64,RW,16,RCMF3,12,19.0,1997-09-07,300000,2024-12-31,13,742,0,0.43,0,1.07,31.46,43.75,Uruguay,['Uruguay'],right,178,70,False,13.54,15.07,52.17,4.37,25.0,1.53,1.93,0.0,4.15,5.23,3.06,3,0.36,0,0.0,2.62,0.0,0,0.0,0.09,0,0.0,5,1.09,0.0,0.0,0.0,0.87,50.0,0.44,50.0,0.44,50.0,0.0,4.37,45.0,7.43,38.24,0.87,1.09,1.75,5.24,0.22,0.44,16.82,77.92,6.12,64.29,2.62,91.67,13.76,84.13,2.18,50.0,20.9,22.55,0.23,0.87,0.0,0.0,0.22,100.0,0.66,2.84,46.15,1.53,85.71,0.0,0.0,1.09,0.44,3.5,68.75,81.25,6.99,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.37,0.0,0.0,0.0,0.22,0,0.0,2017
C. Rivero,Claudio Domingo Rivero Rodríguez,90586,,Defensor Sporting,,,"RCMF, LCMF",RCMF,59,LCMF,24,,0,32.0,1985-04-14,0,,18,737,0,0.03,0,0.44,19.12,54.55,Uruguay,['Uruguay'],right,182,79,False,8.69,8.5,52.27,2.32,83.33,0.0,0.0,0.19,4.25,6.35,3.28,2,0.24,0,0.0,1.16,0.0,0,0.0,0.01,0,0.0,1,0.19,0.0,0.0,0.0,0.39,50.0,0.0,0.0,0.39,50.0,0.39,1.16,66.67,3.48,44.44,0.19,0.58,0.0,9.66,0.19,1.93,24.72,73.44,12.17,69.84,1.55,87.5,20.09,75.96,4.25,63.64,20.12,19.27,0.08,0.77,0.0,0.0,0.39,50.0,0.0,6.57,61.76,1.16,33.33,0.58,66.67,0.39,0.39,7.34,76.32,78.57,8.11,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.32,0.0,0.0,0.0,0.19,0,0.0,2017
F. Cabrera,Facundo David Cabrera Premutico,438455,Central Español,Plaza Colonia,https://cdn5.wyscout.com/photos/team/public/984_120x120.png,,LW,LW,92,,0,,0,26.0,1991-06-05,0,,12,736,0,0.46,0,0.77,28.23,42.57,Uruguay,['Uruguay'],left,181,75,False,8.66,11.18,45.0,5.87,42.86,1.4,1.88,0.0,2.24,3.0,3.07,2,0.24,0,0.0,3.07,0.0,0,0.0,0.13,0,0.0,8,2.24,25.0,0.0,0.0,2.52,0.0,2.24,0.0,0.28,0.0,0.28,3.07,54.55,7.55,44.44,1.6800000000000002,1.12,0.28,16.77,2.24,1.6800000000000002,26.55,55.79,12.58,53.33,2.8,60.0,19.57,67.14,4.47,37.5,20.65,27.48,0.22,1.12,0.0,0.0,1.4,60.0,0.28,5.31,42.11,2.24,25.0,1.6800000000000002,33.33,0.84,0.28,7.83,57.14,57.14,5.87,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.87,1.12,0.0,0.0,1.12,0,0.0,2017
D. Vargas,Delis Matías Vargas Blanco,413461,Real Estelí,Cerro,https://cdn5.wyscout.com/photos/team/public/3662_120x120.png,Primera Division,"CF, RW, LW",CF,42,RW,31,LW,23,22.0,1994-10-25,150000,,10,733,1,0.64,0,0.1,29.81,39.42,Uruguay,['Uruguay'],right,185,70,False,3.44,2.87,50.0,10.61,37.84,0.0,0.0,0.0,2.01,2.92,0.86,0,0.0,0,0.0,4.59,0.12,1,0.29,0.18,0,0.0,4,1.15,50.0,25.0,0.0,4.87,29.41,2.87,40.0,2.01,14.29,0.5700000000000001,7.17,28.0,13.76,37.5,2.29,0.5700000000000001,0.5700000000000001,11.18,2.01,1.72,23.5,67.07,6.02,61.9,5.16,83.33,16.91,79.66,1.72,50.0,19.38,17.35,0.03,0.86,0.0,0.0,0.86,66.67,0.0,2.87,50.0,3.15,54.55,0.29,100.0,0.5700000000000001,2.01,4.59,75.0,66.67,6.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,10.61,0.0,0.0,0.0,0.0,0,0.0,2017
L. Sosa,Luis Leandro Sosa Otermín,201707,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,"LWB, LCMF3, LB",LWB,52,LCMF3,25,LB,21,26.0,1991-03-18,250000,2024-12-31,8,732,0,0.38,1,1.53,15.0,54.84,Uruguay,"['Uruguay', 'Italy']",left,177,68,False,6.29,5.08,76.19,1.69,14.29,0.24,0.38,0.24,2.18,3.42,0.73,0,0.0,0,0.0,5.5600000000000005,0.0,0,0.0,0.09,0,0.0,6,1.45,16.67,0.0,0.24,5.8100000000000005,41.67,5.5600000000000005,39.13,0.24,100.0,0.48,3.39,64.29,5.8100000000000005,45.83,1.45,0.73,0.24,31.94,3.15,0.97,47.42,71.94,17.66,61.64,6.77,85.71,30.48,87.3,11.37,46.81,25.44,35.79,0.37,1.69,0.0,0.0,1.21,60.0,0.97,8.95,54.05,5.08,57.14,0.48,50.0,1.21,1.94,13.79,75.44,80.56,17.42,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.69,0.97,0.0,0.0,1.69,0,0.0,2017
W. Aguerre,Washington Omar Aguerre Lima,237009,Peñarol,Plaza Colonia,https://cdn5.wyscout.com/photos/team/public/579_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,1993-04-23,800000,2024-12-31,8,731,0,0.0,0,0.5,1.21,80.0,Uruguay,['Uruguay'],right,188,85,False,3.4,0.0,0.0,0.97,100.0,0.0,0.0,0.0,3.4,4.47,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.49,10.19,76.19,9.22,76.32,0.0,0.0,2.67,90.91,7.28,73.33,48.4,54.76,0.12,0.24,0.0,0.0,0.0,0.0,0.0,4.61,84.21,0.0,0.0,0.0,0.0,0.0,0.0,6.79,78.57,100.0,0.73,5,1.21,13,3.15,1,61.54,3.14,0.76,-1.86,-0.451,0.0,1.7000000000000002,0.97,,,,0.0,0,0.0,2017
E. Vidal,Nolberto Ezequiel Vidal,220744,Punjab,Juventud,https://cdn5.wyscout.com/photos/team/public/g35319_120x120.png,Indian Super League,"CF, AMF",CF,63,AMF,25,,0,22.0,1995-08-02,250000,,12,725,1,0.11,0,0.48,19.32,40.51,Argentina,['Argentina'],left,168,68,False,3.91,3.42,50.0,2.45,10.0,0.73,1.02,0.0,1.47,2.05,1.71,1,0.12,0,0.0,5.14,0.12,0,0.0,0.03,0,0.0,7,1.71,28.57,0.0,0.0,4.4,22.22,3.18,15.38,1.22,40.0,0.49,5.63,65.22,10.03,43.9,3.67,1.47,0.98,11.98,2.93,1.22,17.61,58.33,3.91,68.75,3.18,92.31,11.01,71.11,2.45,70.0,24.84,25.47,0.12,0.73,0.0,0.0,0.73,0.0,0.73,1.71,71.43,2.2,44.44,0.24,0.0,0.73,0.73,3.18,92.31,53.57,6.85,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.45,0.24,0.0,0.0,0.73,0,0.0,2017
M. Affonso,Mauricio Affonso Prieto,277673,Cooper,Peñarol,https://cdn5.wyscout.com/photos/team/public/g-21162_120x120.png,Segunda División,CF,CF,94,,0,,0,25.0,1992-01-26,150000,2024-12-31,11,725,4,4.6,0,1.27,29.79,36.67,Uruguay,['Uruguay'],left,192,75,False,3.85,2.98,45.83,13.53,40.37,0.62,1.16,0.25,1.86,3.49,3.1,1,0.12,1,0.12,2.48,0.5,4,0.5,0.5700000000000001,1,0.12,21,2.61,52.38,19.048,0.0,0.37,33.33,0.37,33.33,0.0,0.0,0.25,1.37,45.45,9.06,30.14,5.21,0.12,0.12,9.68,2.86,1.74,14.9,71.67,2.36,52.63,3.1,76.0,14.4,72.41,0.12,100.0,14.16,3.09,0.16,1.37,0.0,0.0,0.74,50.0,0.62,1.37,63.64,0.87,57.14,0.62,40.0,1.24,0.12,0.87,85.71,75.0,4.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,13.53,0.0,0.0,0.0,0.0,0,0.0,2017
Á. Luna,Ángel Emanuel Luna,240414,,Liverpool,,,"AMF, LW",AMF,64,LW,19,,0,28.0,1989-01-30,0,,22,721,1,0.96,2,1.47,30.21,40.63,Argentina,['Argentina'],right,168,75,False,5.98,5.98,47.37,4.72,20.0,0.94,1.7000000000000002,0.0,2.2,3.96,1.57,1,0.12,0,0.0,7.55,0.12,1,0.31,0.3,0,0.0,10,3.15,70.0,10.0,0.63,3.46,18.18,0.63,0.0,2.52,25.0,0.0,7.55,50.0,15.1,43.75,2.2,0.94,0.31,29.58,1.26,1.89,43.74,77.7,15.1,70.83,6.61,95.24,34.62,87.27,5.98,52.63,17.01,19.77,0.46,3.46,0.31,0.0,1.57,60.0,0.31,9.76,67.74,5.98,47.37,2.52,37.5,2.52,0.31,8.5,88.89,76.6,14.79,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.72,2.52,0.0,0.0,2.52,0,0.0,2017
G. Pérez,Gabriel Pérez Ramallo,353005,,Wanderers,,,"DMF, LDMF",DMF,43,LDMF,34,,0,22.0,1995-03-29,0,,17,716,0,0.19,0,0.0,20.12,52.63,Uruguay,['Uruguay'],,180,80,False,11.65,9.88,60.71,2.8200000000000003,25.0,0.0,0.0,0.0,5.65,9.6,1.06,4,0.5,0,0.0,1.41,0.0,0,0.0,0.07,0,0.0,3,1.06,66.67,0.0,0.0,1.41,0.0,1.41,0.0,0.0,0.0,0.35,1.76,40.0,4.59,46.15,0.35,1.06,0.0,24.0,0.0,1.76,42.35,83.33,16.59,74.47,3.53,90.0,38.12,87.04,2.8200000000000003,75.0,10.18,18.92,0.0,0.0,0.0,0.0,0.35,0.0,0.0,11.29,78.13,2.12,16.67,0.35,0.0,0.71,0.35,10.59,83.33,90.24,14.47,0,,0,,0,0.0,0.0,0.0,,,0.35,,2.8200000000000003,0.35,0.35,100.0,0.0,0,0.0,2017
A. Nadruz,Agustín Nadruz Blanco,448934,Deportes Iquique,Boston River,https://cdn5.wyscout.com/photos/team/public/1666_120x120.png,Primera División,"LCMF3, RCMF3, LCMF",LCMF3,34,RCMF3,22,LCMF,17,21.0,1996-06-29,650000,2024-12-31,15,709,0,0.7000000000000001,0,0.0,26.5,45.28,Uruguay,"['Uruguay', 'Spain']",right,182,78,False,11.0,16.0,50.0,4.5,55.56,0.5,0.68,0.0,2.5,3.41,3.5,2,0.25,0,0.0,1.0,0.0,0,0.0,0.35,0,0.0,5,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.5,0.0,0.0,20.5,0.5,0.0,27.5,83.64,10.5,71.43,2.0,100.0,25.0,88.0,2.5,40.0,18.1,17.14,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7.0,71.43,1.5,33.33,0.5,0.0,0.5,0.0,7.0,92.86,90.91,11.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.5,0.0,0.0,0.0,0.0,0,0.0,2017
J. Fernández,Axel Javier Fernández Berón,335090,,Plaza Colonia,,,CF,CF,100,,0,,0,22.0,1994-09-03,0,,13,701,1,0.16,0,0.26,26.67,25.0,Uruguay,['Uruguay'],right,185,85,False,4.8100000000000005,3.7,60.0,8.52,30.43,1.11,1.64,0.0,1.48,2.18,2.96,1,0.13,0,0.0,1.11,0.13,0,0.0,0.06,0,0.0,3,1.11,66.67,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,1.11,33.33,7.78,23.81,1.85,0.37,0.0,11.11,4.44,1.11,17.04,82.61,2.59,71.43,5.93,87.5,16.67,84.44,0.0,0.0,12.99,0.0,0.1,1.48,0.0,0.0,0.0,0.0,0.37,2.22,83.33,0.74,50.0,0.0,0.0,0.37,0.0,2.59,71.43,91.67,4.44,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.52,0.0,0.0,0.0,0.0,0,0.0,2017
A. Rolín,Germán Alexis Rolín Fernández,189614,Potencia,Nacional,https://cdn5.wyscout.com/photos/team/public/g25843_120x120.png,Segunda B Nacional,"RCB, LCB",RCB,59,LCB,21,,0,28.0,1989-02-07,0,2024-12-31,10,696,0,0.1,0,0.0,11.77,57.14,Uruguay,['Uruguay'],right,186,76,False,9.96,4.78,72.97,4.01,51.61,1.03,1.58,0.78,5.43,8.29,1.03,1,0.13,0,0.0,0.39,0.0,0,0.0,0.01,0,0.0,1,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.52,50.0,1.29,40.0,0.13,0.0,0.0,14.22,0.26,0.78,26.12,83.66,14.48,78.57,1.16,88.89,19.66,91.45,6.34,61.22,24.77,36.76,0.0,0.0,0.0,0.0,0.13,100.0,0.0,4.14,50.0,0.39,33.33,0.26,0.0,0.0,0.0,6.98,75.93,90.16,7.89,0,,0,,0,0.0,0.0,0.0,,,0.78,,4.01,0.0,0.0,0.0,0.0,0,0.0,2017
M. Díaz,Martín Damián Díaz Pena,120171,,Liverpool,,,LCB,LCB,100,,0,,0,29.0,1988-03-17,0,,9,690,0,0.27,0,0.0,12.79,51.85,Uruguay,['Uruguay'],left,185,79,False,7.58,7.58,50.0,1.89,75.0,0.95,1.43,0.47,2.84,4.29,0.95,3,0.39,0,0.0,1.42,0.0,0,0.0,0.13,0,0.0,2,0.95,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,50.0,1.42,33.33,0.95,0.0,0.0,10.89,0.0,0.47,20.84,75.0,12.79,62.96,1.89,100.0,12.79,92.59,8.05,47.06,21.38,28.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,71.43,0.0,0.0,0.0,0.0,0.0,0.0,7.11,53.33,100.0,3.79,0,,0,,0,0.0,0.0,0.0,,,1.42,,1.89,0.0,0.0,0.0,0.0,0,0.0,2017
M. Vila,Mauro Adrián Vila Wilkins,55876,Cooper,Boston River,https://cdn5.wyscout.com/photos/team/public/g-21162_120x120.png,Segunda División,"CF, RWB, AMF",CF,38,RWB,23,AMF,19,31.0,1986-02-25,10000,2024-12-31,19,673,1,0.5700000000000001,0,0.24,31.17,48.7,Uruguay,['Uruguay'],right,168,60,False,10.57,9.22,70.59,4.88,16.67,0.81,1.14,0.0,3.25,4.5600000000000005,2.17,2,0.27,0,0.0,6.78,0.13,1,0.27,0.16,0,0.0,10,2.71,40.0,10.0,0.0,3.25,25.0,0.54,50.0,2.71,20.0,0.0,7.59,60.71,13.28,51.02,2.71,1.63,0.81,28.46,2.71,3.52,39.58,66.44,14.37,49.06,5.15,84.21,33.34,72.36,2.98,45.45,21.27,12.45,0.06,1.08,0.0,0.0,1.36,20.0,0.54,5.96,45.45,4.61,52.94,1.9,14.29,1.63,0.54,7.59,78.57,84.09,11.93,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.88,0.0,0.0,0.0,0.0,0,0.0,2017
H. García,Heber Daniel García Torrealba,357899,Monagas,Sud América,https://cdn5.wyscout.com/photos/team/public/997_120x120.png,Primera División,"RW, LW, LCMF",RW,59,LW,22,LCMF,10,20.0,1997-03-27,175000,2024-12-31,17,672,2,0.13,0,0.42,31.94,50.91,Venezuela,['Venezuela'],left,169,62,False,10.45,13.94,62.5,1.74,33.33,0.58,0.8300000000000001,0.58,1.16,1.67,4.06,3,0.4,1,0.13,6.97,0.27,0,0.0,0.07,0,0.0,4,2.32,75.0,0.0,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.0,5.8100000000000005,80.0,12.19,52.38,0.58,2.32,0.58,21.48,0.58,1.74,34.84,86.67,9.29,87.5,6.39,100.0,32.52,91.07,1.74,33.33,18.22,12.89,0.24,3.48,0.0,0.0,0.58,100.0,0.58,5.8100000000000005,70.0,1.74,66.67,1.74,66.67,1.74,0.0,7.55,84.62,71.43,12.19,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.74,1.74,0.0,0.0,2.9,0,0.0,2017
D. Casas,Diego Mateo Casas López,288416,Comunicaciones,Juventud,https://cdn5.wyscout.com/photos/team/public/3534_120x120.png,Liga Nacional,CF,CF,97,,0,,0,22.0,1995-03-04,225000,2026-06-30,13,670,1,0.34,0,0.0,20.0,30.56,Uruguay,['Uruguay'],right,180,79,False,3.89,1.67,66.67,6.11,36.36,0.56,0.79,0.0,2.22,3.16,1.67,0,0.0,0,0.0,0.56,0.13,0,0.0,0.19,0,0.0,2,1.11,50.0,0.0,0.0,2.22,0.0,1.11,0.0,1.11,0.0,0.0,3.33,0.0,10.0,22.22,2.78,0.56,0.56,11.67,3.33,1.67,20.56,67.57,2.78,40.0,6.11,81.82,17.22,77.42,1.11,50.0,16.08,21.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,50.0,1.67,33.33,0.0,0.0,0.0,0.0,1.67,100.0,62.5,8.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.11,0.0,0.0,0.0,0.0,0,0.0,2017
B. Lozano,Brian Avelino Lozano Aparicio,368519,Atlas,Nacional,https://cdn5.wyscout.com/photos/team/public/526_120x120.png,Liga MX,"RAMF, LAMF, RW",RAMF,49,LAMF,14,RW,14,23.0,1994-02-23,1500000,2025-06-30,16,666,4,0.96,1,2.02,29.69,36.32,Uruguay,['Uruguay'],right,167,69,False,5.0,6.88,47.73,3.44,27.27,0.47,0.9,0.0,1.25,2.4,2.19,3,0.41,1,0.14,4.84,0.54,4,0.63,0.15,0,0.0,17,2.66,29.41,23.529,0.16,4.69,23.33,0.94,33.33,3.75,20.83,1.25,5.63,44.44,14.53,33.33,2.66,0.78,0.63,22.34,2.66,3.13,29.84,75.92,7.97,76.47,7.5,97.92,24.06,85.71,1.25,75.0,18.45,17.73,0.32,1.56,0.16,0.0,1.25,37.5,0.47,2.03,69.23,4.22,40.74,0.47,0.0,1.09,2.03,5.0,75.0,61.67,9.38,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.44,2.5,1.25,37.5,4.22,0,0.0,2017
S. Bellini,Santiago Bellini Noya,399986,Cerrito,Wanderers,https://cdn5.wyscout.com/photos/team/public/1744_120x120.png,Segunda División,CF,CF,95,,0,,0,20.0,1996-09-19,150000,2024-12-31,24,662,3,0.8200000000000001,2,0.72,32.09,39.13,Uruguay,['Uruguay'],left,196,86,False,3.72,3.02,53.85,16.51,42.25,0.0,0.0,0.0,2.09,3.51,3.26,2,0.27,0,0.0,1.86,0.41,1,0.23,0.19,0,0.0,6,1.4,16.67,16.667,0.47,0.47,100.0,0.23,100.0,0.23,100.0,0.0,1.63,71.43,8.37,41.67,3.72,0.23,0.23,8.84,2.09,1.63,14.65,80.95,3.49,80.0,1.63,85.71,13.95,80.0,0.23,100.0,10.15,2.65,0.17,1.4,0.0,0.0,0.0,0.0,0.47,0.7000000000000001,66.67,0.7000000000000001,66.67,0.0,0.0,0.47,0.47,0.47,100.0,77.78,4.19,0,,0,,0,0.0,0.0,0.0,,,0.0,,16.51,0.0,0.0,0.0,0.0,0,0.0,2017
R. Rodríguez,Rodrigo Gabriel Rodríguez Dubovich,209462,Real Sociedad,Liverpool,https://cdn5.wyscout.com/photos/team/public/g21616_120x120.png,Liga Nacional,GK,GK,100,,0,,0,21.0,1995-11-25,150000,,8,652,0,0.0,0,0.0,0.14,100.0,Uruguay,['Uruguay'],right,188,90,False,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,2.49,0.0,1,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.14,0.14,7.45,75.93,7.04,74.51,0.0,0.0,1.1,75.0,6.35,76.09,53.85,55.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,72.41,0.14,0.0,0.0,0.0,0.0,0.0,5.11,91.89,100.0,0.41,12,1.66,35,4.83,2,65.71,11.84,1.63,-0.16,-0.022,0.0,1.24,0.0,,,,0.0,0,0.0,2017
Léo Bahia,Francisco Eliomar Rodrigues Farias,282433,Almazán,Rampla Juniors,https://cdn5.wyscout.com/photos/team/public/g9658_120x120.png,,"CF, LAMF",CF,72,LAMF,12,,0,26.0,1991-05-19,0,,13,649,1,0.45,0,0.04,32.38,37.29,Brazil,['Brazil'],right,176,72,False,2.2,2.2,75.0,6.59,16.67,0.0,0.0,0.0,0.55,0.97,1.65,3,0.42,0,0.0,5.49,0.14,0,0.0,0.25,0,0.0,5,2.74,20.0,0.0,0.0,1.1,0.0,0.55,0.0,0.55,0.0,0.55,8.23,60.0,19.76,44.44,3.84,1.65,2.74,10.43,1.1,3.29,17.56,65.63,4.39,62.5,3.84,85.71,16.46,70.0,0.0,0.0,13.61,0.0,0.02,0.55,0.0,0.0,0.55,0.0,0.55,2.2,75.0,0.55,100.0,0.55,0.0,0.55,0.0,1.65,66.67,50.0,3.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.59,0.0,0.0,0.0,0.0,0,0.0,2017
P. Silva,Pablo Martín Silva Silva,301883,,Danubio,,,CF,CF,100,,0,,0,32.0,1984-11-06,0,,11,644,1,0.01,0,0.73,18.07,11.76,Uruguay,['Uruguay'],right,179,73,False,1.77,3.9,27.27,6.02,11.76,0.35,0.5700000000000001,0.35,0.35,0.5700000000000001,2.48,2,0.28,0,0.0,0.71,0.14,0,0.0,0.0,0,0.0,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,25.0,4.96,7.14,1.06,0.0,0.0,11.69,2.48,0.0,13.82,76.92,1.06,33.33,4.25,100.0,13.82,76.92,0.0,0.0,11.04,0.0,0.26,0.35,0.0,0.0,0.35,100.0,0.35,0.0,0.0,0.71,100.0,0.35,100.0,0.71,0.0,0.71,50.0,63.64,3.9,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.02,0.0,0.0,0.0,0.0,0,0.0,2017
M. Soler,Matías Daniel Soler,500027,,Plaza Colonia,,,GK,GK,100,,0,,0,22.0,1995-04-18,0,,7,642,0,0.0,0,0.0,2.23,57.14,Argentina,['Argentina'],right,176,77,False,4.15,0.64,100.0,0.64,100.0,0.0,0.0,0.0,3.51,4.85,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.32,10.85,79.41,9.89,77.42,0.0,0.0,0.96,100.0,9.89,77.42,51.36,53.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,63.64,0.0,0.0,0.0,0.0,0.0,0.0,8.3,88.46,100.0,0.96,6,1.91,20,6.38,0,70.0,6.32,2.02,0.32,0.102,0.0,2.23,0.64,,,,0.0,0,0.0,2017
